,id,type
0,ArrangeShoes,UNI
1,BrushHair,UNI
2,BrushTeeth,UNI
3,DrinkWater,UNI
4,DryHair,BIA
5,Eraser,BIA
6,FlipFrontCard,UNI
7,FlipRearCard,UNI
8,FoldPaper,BIA
9,FoldTowel,BIA
10,HangUpLaundry,BIS
11,InsertEnvelope,BIA
12,InsertPhoto,BIA
13,Knife,BIA
14,LiftBox,BIS
15,LiftDoorlock,UNI
16,MoveDishes,BIS
17,OpenBook,BIA
18,OpenCloseLaptop,BIA
19,OpenCloset,BIS
20,OpenDoor,UNI
21,OpenNewspaper,BIA
22,OpenRefrig,UNI
23,PlugOutlet,BIA
24,PourWater,BIA
25,PressPIN,UNI
26,PressPower,UNI
27,PressWasherButton,UNI
28,PullChairBack,UNI
29,PullSitChair,BIS
30,PutLaundry,BIS
31,PutLotion,BIA
32,RinseBody,UNI
33,Scissors,BIA
34,SqueezeToothpaste,BIA
35,StackCoin,UNI
36,TakeCard,BIA
37,TakePill,BIA
38,Tissue,BIS
39,TurnDoorKnob,UNI
40,TurnOnFaucet,UNI
41,TurnOnLight,UNI
42,TypeKeyboard,BIS
43,UseChopsticks,UNI
44,UseMouse,UNI
45,UseRemote,UNI
46,UseSpoon,UNI
47,Vacuum,UNI
48,WashBody,BIA
49,WashDishes,BIA
50,WashFace,BIS
51,WashHair,BIS
52,WashHand,BIS
53,WearSocks,BIS
54,WringDishcloth,BIA
55,Writing,BIA
